Subscription_ID,User_ID,Subscription_Type,Start_Date,Renewal_Status
1,1275,,03/06/2023,Cancelled
2,1737,Premium,19/08/2022,Active
3,2645,Premium,25/08/2024,Cancelled
4,551,Premium,28/04/2022,Active
5,1284,Standard,11/10/2023,Cancelled
6,,Standard,11/05/2023,Expired
7,1533,Standard,15/08/2023,Cancelled
8,2088,Standard,14/08/2022,Cancelled
9,2146,Premium,25/04/2022,Expired
10,238,Basic,15/09/2022,Active
11,1800,Premium,26/12/2023,Cancelled
12,492,Basic,24/04/2023,Active
13,94,Premium,07/08/2022,Cancelled
14,1931,,20/04/2023,Cancelled
15,1145,Basic,08/06/2023,Expired
16,596,Premium,22/03/2023,Active
17,1512,Premium,07/05/2024,Cancelled
18,487,Premium,20/03/2022,Active
19,503,Basic,10/09/2023,Active
,1707,Basic,17/06/2024,Expired
,1521,Standard,14/11/2024,Active
22,2896,Standard,12/11/2024,Active
23,2957,Premium,14/12/2024,Active
24,51,Basic,26/05/2022,Active
25,640,Premium,09/12/2022,Active
26,312,Basic,23/12/2023,Cancelled
27,452,Basic,30/05/2024,Active
28,849,Premium,30/05/2024,Expired
29,294,Basic,12/10/2022,Cancelled
30,297,Basic,03/03/2024,Expired
31,2307,Standard,07/11/2023,Expired
32,964,Basic,,Cancelled
33,403,Premium,08/11/2023,Active
34,83,Basic,07/01/2025,Expired
35,1178,Standard,21/11/2022,Expired
36,307,Standard,02/08/2022,
37,953,Standard,,Active
38,,Premium,05/08/2024,Cancelled
39,2840,Basic,29/07/2022,Cancelled
40,1360,Basic,03/05/2022,Cancelled
41,2488,Premium,27/06/2024,Cancelled
42,1736,Basic,24/06/2024,Expired
43,1751,Standard,,Active
44,525,Standard,16/02/2024,Active
45,388,Premium,24/01/2024,Expired
46,,Standard,01/09/2023,Cancelled
47,833,Basic,18/10/2024,Expired
48,1939,Basic,19/02/2024,Active
49,197,Basic,19/08/2023,Expired
,2960,Standard,14/08/2023,Active
51,2842,Basic,15/04/2023,Cancelled
52,1521,Standard,20/01/2025,Active
53,2257,,14/04/2022,Expired
54,1977,Standard,,Active
55,2820,Standard,30/01/2025,Expired
56,2338,Standard,11/12/2022,Active
57,2970,Basic,25/11/2023,Expired
58,2700,Basic,22/02/2023,Active
59,1375,Basic,29/03/2023,Cancelled
60,2068,Premium,12/02/2024,Cancelled
61,593,Standard,19/11/2024,Cancelled
62,2941,Standard,15/01/2023,Cancelled
63,2922,Standard,03/06/2022,Expired
64,1228,Standard,12/07/2022,Expired
65,1379,Premium,12/05/2022,Active
66,1702,Basic,08/05/2024,Active
67,717,Standard,01/10/2023,Expired
68,2161,Premium,28/07/2024,Cancelled
69,2255,Standard,25/01/2025,Active
70,2222,Standard,11/07/2023,Active
71,612,Basic,18/02/2023,Expired
72,507,Standard,05/01/2023,
73,,Basic,14/09/2024,Cancelled
74,1110,Basic,15/03/2023,Expired
75,1295,Standard,29/03/2023,Expired
76,2261,Premium,02/09/2024,Active
77,1291,Premium,16/12/2022,Expired
78,1845,Standard,28/12/2024,Expired
79,303,Basic,18/03/2024,Cancelled
80,2343,Basic,,Active
81,559,Basic,03/08/2024,Expired
82,487,Basic,08/11/2024,Expired
83,1113,Premium,14/09/2022,Active
84,1848,Standard,,Cancelled
85,2590,Basic,30/11/2022,Active
,1713,Basic,07/05/2024,Active
87,560,Basic,31/01/2025,Expired
,,Basic,27/08/2023,Cancelled
,1447,Standard,05/04/2022,Active
90,1343,Basic,25/10/2022,Expired
91,803,,21/01/2023,Active
92,2387,Standard,08/11/2024,Expired
93,1929,Premium,28/04/2024,Active
94,2767,Standard,26/08/2024,Cancelled
95,2108,Premium,04/08/2023,Active
96,835,,21/07/2022,Cancelled
97,127,Basic,08/11/2022,Expired
98,1064,Premium,15/09/2022,Cancelled
99,2452,Premium,22/03/2023,
100,973,Basic,05/02/2025,Active
101,1751,Standard,15/07/2023,Expired
102,2343,Premium,19/01/2025,Cancelled
103,2898,Premium,20/09/2022,Cancelled
104,803,Premium,09/10/2022,Cancelled
105,27,Premium,04/02/2023,Cancelled
106,2132,Premium,28/07/2023,Active
107,2792,Basic,25/07/2022,Active
108,691,Standard,,Cancelled
109,2592,Standard,06/08/2024,Cancelled
110,1736,Basic,07/01/2023,Cancelled
111,428,Basic,11/04/2023,Expired
112,447,Premium,03/09/2022,Cancelled
113,319,Standard,27/08/2024,Expired
114,2034,Basic,23/06/2022,
115,644,Premium,16/02/2024,Cancelled
116,129,Standard,17/09/2024,
117,1689,Premium,09/02/2023,Cancelled
118,700,,30/06/2023,
119,1962,Standard,24/03/2022,Active
120,399,,12/11/2022,Active
121,1190,Basic,08/09/2022,Cancelled
122,2089,Basic,25/04/2023,Active
123,835,Premium,03/08/2023,Cancelled
124,353,Basic,19/07/2024,Expired
125,,Standard,29/04/2022,Cancelled
126,2977,Standard,05/03/2024,Expired
127,121,Premium,30/03/2024,Expired
128,831,Standard,18/03/2024,
129,2327,Basic,13/12/2022,Expired
130,2559,Basic,04/02/2024,Expired
131,2737,Standard,25/02/2024,Cancelled
132,1348,Basic,01/03/2023,Cancelled
133,1550,Premium,24/05/2024,Cancelled
134,2403,Premium,,Active
135,467,Premium,30/05/2023,Active
136,2691,Standard,17/06/2024,Expired
137,1401,Basic,,Cancelled
138,2890,Premium,04/03/2024,Active
139,753,Basic,26/07/2023,Cancelled
140,2566,Basic,19/02/2023,Cancelled
141,2238,Standard,31/05/2024,Expired
142,1010,,14/01/2025,Active
143,1942,Basic,01/04/2022,Cancelled
144,2096,Standard,14/12/2023,Expired
145,1062,,15/12/2022,Expired
,2219,Premium,08/09/2022,Active
,2048,Standard,05/07/2022,Active
148,656,Premium,25/11/2024,Expired
149,2248,Premium,25/07/2023,Active
150,2618,Basic,,Active
151,877,Premium,,Cancelled
152,12,Basic,11/11/2024,Cancelled
153,1351,Basic,08/07/2023,Expired
154,2831,Standard,09/04/2023,Expired
155,2123,Standard,16/09/2024,Cancelled
156,399,Basic,13/12/2022,Cancelled
157,1907,Premium,02/08/2023,Cancelled
158,1308,Standard,23/02/2024,Expired
,2768,Standard,03/02/2023,Active
160,974,Premium,14/12/2022,Cancelled
161,2728,Standard,20/08/2024,Active
162,1816,Basic,14/07/2024,Active
163,2899,Standard,19/09/2023,Active
164,2750,Standard,12/10/2022,Active
,210,Premium,02/11/2023,Cancelled
166,1264,Basic,08/02/2025,Cancelled
167,110,Standard,03/11/2023,Active
168,2406,Premium,14/05/2024,Cancelled
169,1868,Basic,21/08/2023,Cancelled
170,451,Standard,09/11/2023,Cancelled
171,535,Standard,09/10/2022,Expired
172,2521,Premium,01/07/2023,Active
173,2780,Premium,06/03/2024,Expired
174,1368,Basic,08/06/2023,Cancelled
175,2385,Basic,28/09/2022,Expired
176,2360,Basic,04/09/2022,Expired
177,2728,Basic,19/01/2023,Cancelled
178,1126,Standard,01/12/2024,
179,,Basic,16/02/2025,Cancelled
180,1746,,15/12/2024,Active
181,1200,Premium,22/06/2023,Cancelled
182,1338,Premium,10/05/2023,
183,234,Premium,25/01/2023,Cancelled
184,1718,Premium,08/04/2024,Expired
185,2269,Basic,08/10/2022,Cancelled
186,1647,Standard,24/10/2024,Cancelled
,2946,Premium,12/03/2024,Cancelled
188,2327,Premium,22/05/2024,Cancelled
189,1033,,07/04/2022,Expired
190,2487,Premium,31/10/2024,Expired
191,1838,Basic,09/01/2023,Active
,1419,Basic,23/06/2022,Cancelled
,2589,Premium,16/06/2024,Cancelled
194,809,Premium,05/07/2024,Active
195,464,Basic,17/04/2024,Cancelled
196,1617,Premium,01/10/2022,Expired
197,1191,Premium,07/05/2023,Expired
198,518,,06/09/2024,Active
199,,,01/09/2022,Cancelled
200,2869,Basic,13/03/2023,Cancelled
201,2884,Premium,31/10/2023,Active
202,2501,Basic,12/02/2023,Active
203,809,Standard,26/05/2022,Cancelled
204,321,Standard,28/02/2022,Active
205,2886,Premium,01/12/2023,Expired
206,2006,Basic,06/02/2024,Expired
207,,Basic,13/11/2024,Expired
208,1903,Standard,05/03/2024,Active
209,2123,Standard,,Expired
210,1032,Premium,20/10/2023,Expired
211,1091,Standard,30/08/2022,Active
212,894,Premium,22/10/2023,Expired
213,118,Premium,,Active
214,1616,Standard,15/12/2024,Cancelled
215,1335,Premium,06/05/2024,Cancelled
216,2893,Basic,01/12/2024,Expired
217,2850,Basic,01/07/2024,Active
218,2821,Basic,03/09/2023,
219,1980,Basic,07/08/2023,Cancelled
220,799,Basic,24/06/2022,Expired
221,1535,Standard,30/06/2024,Cancelled
222,425,Standard,19/03/2024,Expired
223,,Standard,13/11/2023,Active
224,,Basic,16/01/2025,Active
225,1769,Premium,30/08/2022,Cancelled
226,418,Standard,18/02/2023,Active
,378,Premium,18/08/2022,Cancelled
228,627,Premium,22/06/2022,Active
229,2837,Premium,08/02/2025,Active
230,351,Premium,31/03/2022,Cancelled
231,2530,Basic,28/09/2024,Active
232,2033,Premium,01/03/2022,Cancelled
233,354,Premium,20/04/2023,Cancelled
234,2881,Standard,29/07/2024,Active
235,401,Basic,27/06/2022,Cancelled
236,1354,Basic,,Active
237,378,Premium,28/03/2023,Active
238,2697,Premium,21/04/2023,Active
239,263,Basic,05/01/2023,Expired
240,1410,Standard,10/07/2024,Cancelled
241,2293,Basic,14/05/2023,Active
242,2819,Basic,24/09/2023,Cancelled
243,2403,Standard,05/02/2023,Expired
244,792,Standard,06/09/2024,Expired
245,1785,,18/12/2022,Cancelled
246,1490,Basic,,Cancelled
247,337,Premium,23/09/2023,Active
248,741,Standard,14/04/2023,Expired
249,1267,Premium,23/07/2022,Active
250,1732,Premium,01/03/2024,Expired
251,1582,Standard,14/06/2024,Active
,935,Standard,04/02/2025,Active
253,2255,Basic,22/09/2024,Active
254,2981,Premium,22/08/2023,
255,110,Basic,10/07/2022,Active
256,1820,Basic,15/10/2022,Active
257,2422,Standard,14/05/2023,Active
258,1548,Basic,29/08/2022,Cancelled
259,840,Standard,17/03/2022,Expired
260,939,Standard,16/07/2022,Active
261,998,Basic,24/05/2022,Expired
262,,Basic,04/12/2024,Expired
263,289,Basic,13/03/2022,Cancelled
264,1823,Standard,14/04/2022,Active
265,117,Basic,05/12/2024,Cancelled
266,1365,Premium,03/06/2022,Cancelled
267,1122,Premium,07/10/2022,Active
268,1628,Premium,06/04/2022,Cancelled
269,504,,01/01/2024,Expired
270,2745,Premium,04/05/2022,Active
271,2328,,01/02/2023,Cancelled
272,245,Premium,01/02/2024,Active
,2002,Standard,15/05/2023,Active
274,1484,Standard,11/06/2024,Cancelled
275,1543,Premium,27/09/2023,Cancelled
276,476,Premium,05/06/2023,Expired
277,2021,Basic,10/04/2024,Cancelled
278,2116,Premium,03/12/2024,Expired
,2293,Basic,01/08/2024,Expired
280,2015,Standard,07/12/2023,Cancelled
281,1701,Premium,26/04/2023,Cancelled
282,1014,Standard,30/12/2022,Active
283,944,Basic,02/11/2022,Cancelled
284,1510,Premium,02/04/2023,Cancelled
285,2445,Standard,14/07/2022,Cancelled
286,1812,Premium,27/08/2024,Active
287,284,Basic,24/05/2022,Active
288,1974,Standard,29/01/2024,Expired
289,1597,Basic,24/08/2023,Cancelled
290,1642,Premium,08/07/2022,Cancelled
291,1127,Premium,04/07/2022,Expired
292,1521,Basic,18/12/2023,Cancelled
293,1530,Standard,25/03/2022,Active
294,1477,Premium,06/09/2022,Expired
295,2014,Basic,18/11/2023,Cancelled
296,2296,Premium,20/01/2025,Expired
297,1379,Standard,06/04/2022,Cancelled
298,1184,,23/05/2024,Cancelled
299,324,Premium,13/11/2024,Expired
300,396,Standard,09/09/2024,
301,192,Standard,20/12/2023,Cancelled
302,2802,Premium,18/07/2024,Expired
303,412,Premium,03/10/2024,Cancelled
304,698,Premium,27/01/2024,Expired
305,2796,Premium,27/10/2023,Expired
306,580,Standard,04/05/2024,
307,1949,Basic,27/11/2024,Expired
308,2285,Basic,01/10/2024,Cancelled
309,1892,Basic,10/08/2024,Cancelled
310,615,Basic,09/01/2023,Active
311,2478,Premium,11/12/2024,Active
312,2950,Standard,18/06/2024,Expired
,612,Premium,30/07/2024,Expired
314,1944,Premium,17/07/2022,Cancelled
315,,Standard,11/04/2023,Expired
316,1023,Premium,25/10/2022,Expired
317,1335,Premium,04/01/2025,Expired
318,2954,Premium,28/12/2022,Active
319,2476,Premium,13/12/2024,Cancelled
320,1872,Basic,26/01/2025,Active
321,504,Premium,27/09/2022,Cancelled
322,,Basic,07/08/2024,Cancelled
323,2549,Standard,28/04/2023,Expired
324,1237,Standard,26/06/2023,Active
325,1793,Premium,,Expired
326,1176,Basic,,Cancelled
327,3000,Standard,09/04/2024,Active
328,,Standard,17/08/2022,Cancelled
329,271,Basic,22/09/2023,Expired
330,2988,Premium,07/05/2022,Cancelled
331,263,Premium,20/12/2024,Cancelled
332,357,,23/12/2022,Expired
333,1194,Basic,22/07/2022,Expired
334,,Standard,31/01/2023,Expired
335,2362,Standard,05/03/2024,Expired
,2078,Basic,06/02/2025,Cancelled
337,645,Standard,29/11/2023,Cancelled
338,778,Premium,14/03/2022,Expired
339,700,Premium,10/01/2024,Expired
340,633,Basic,08/11/2022,Active
341,612,Standard,20/12/2023,Active
342,288,Standard,17/08/2022,Expired
343,1953,Standard,17/12/2022,Expired
344,378,Standard,01/09/2022,Expired
345,1858,Basic,03/04/2024,Cancelled
346,2429,Standard,30/01/2024,Active
347,380,Basic,21/12/2024,Active
348,1850,Standard,03/11/2024,Cancelled
,1622,Basic,21/09/2023,Expired
